(base) naimamarseille@Naimas-MacBook-Air-6 src % java -cp .:mariadb-java-client-3.5.7.jar Week13Lab      
Enter your database name, user name and password
employee
naima
password123
Connection to MariaDB established successfully!
1 - James - $95001.876
2 - Maria - $92000.069
3 - Robert - $88000.717
4 - Emma - $91001.377
5 - Liam - $85000.736
6 - Olivia - $110001.546
7 - Noah - $78000.523
8 - Ava - $82000.979
9 - William - $75001.325
10 - Sophia - $84001.689
11 - Ethan - $89001.471
12 - Isabella - $125000.285
13 - Charlotte - $53937.015
14 - Ella - $50213.217
15 - Scarlett - $44472.042
16 - Ava - $56608.558
17 - Scarlett - $64518.666
18 - Charlotte - $44714.657
19 - Evelyn - $65731.285
20 - Mia - $59013.453
21 - Ava - $41959.413
22 - Ella - $97001.705
23 - Logan - $69115.284
25 - Evelyn - $60268.306
26 - Scarlett - $61535.676
27 - Zoe - $54837.465
28 - Mia - $69570.294
29 - Grace - $65964.076
30 - Olivia - $50227.497
31 - Scarlett - $77000.257
32 - Mia - $47912.795
33 - Emma - $65805.204
35 - Ethan - $38284.637
36 - Logan - $48476.57
37 - Abigail - $50927.941
38 - Aiden - $66210.994
40 - Ava - $50989.146
41 - Charlotte - $53743.747
42 - Mateo - $59033.298
43 - Charlotte - $40025.25
44 - Jackson - $57132.356
45 - Evelyn - $44120.031
46 - Joseph - $40289.085
47 - Amelia - $60628.333
48 - Elijah - $66846.409
49 - Grace - $62641.046
50 - Olivia - $41220.003
51 - Aiden - $69333.876
53 - Mason - $64565.371
54 - Ava - $53235.227
55 - Ava - $44904.024
56 - Ava - $65117.438
57 - Elijah - $42566.119
58 - Sophia - $50918.282
59 - Joseph - $52217.053
60 - Oliver - $66263.417
61 - Omar - $83000.928
62 - Mia - $39660.388
63 - Zoe - $44626.157
64 - Jackson - $54317.622
66 - Amelia - $46481.638
67 - Ella - $58607.323
68 - Evelyn - $62157.703
69 - Grace - $52948.545
71 - Isabella - $41217.615
72 - Scarlett - $67520.441
73 - Joseph - $45421.36
74 - James - $65526.477
76 - Mason - $51452.304
77 - Amelia - $56167.091
78 - Sophia - $47902.541
79 - Mateo - $50902.431
80 - Aiden - $69245.534
81 - Amelia - $63195.375
83 - Lucas - $67972.273
85 - Scarlett - $54490.243
87 - Aiden - $67586.393
88 - Ava - $51962.236
89 - Isabella - $63587.002
90 - Sophia - $66166.3
91 - Ella - $44176.495
92 - Noah - $62685.575
94 - Isabella - $39025.388
95 - James - $60522.216
96 - David - $63173.918
98 - Mia - $65366.94
99 - Noah - $58610.947
100 - Olivia - $38721.915
101 - Harper - $64130.734
102 - Sophia - $65149.927
104 - Emma - $55960.43
105 - Grace - $61983.371
106 - Aiden - $67555.563
107 - Mateo - $55566.703
108 - Oliver - $42346.828
109 - Ava - $48719.03
110 - Elijah - $50289.664
111 - Abigail - $38232.23
112 - Ethan - $45047.161
113 - Zoe - $69674.112
114 - Aiden - $53992.079
115 - Joseph - $65461.059
116 - Lucas - $55134.058
117 - Noah - $63481.113
118 - Zoe - $52918.393
119 - Lucas - $59286.623
120 - Logan - $53740.937
121 - Emma - $50689.817
122 - Logan - $48131.275
123 - Lucas - $48027.922
124 - Sebastian - $44655.786
125 - Joseph - $51377.164
126 - Evelyn - $40367.462
127 - Mia - $58990.819
128 - Emma - $58901.709
129 - Ella - $59616.088
130 - Scarlett - $67189.313
131 - Ethan - $51919.301
132 - Liam - $46110.565
133 - Olivia - $60497.924
134 - Liam - $40593.923
135 - Mason - $63172.844
136 - Jackson - $39833.451
137 - Isabella - $41087.722
138 - Logan - $51512.257
139 - Lucas - $60551.117
140 - Mateo - $41330.817
141 - Abigail - $66879.735
142 - David - $61964.221
143 - Ella - $51413.903
144 - David - $50541.85
145 - Charlotte - $46026.54
146 - Sophia - $38328.15
147 - Harper - $38268.133
148 - Mateo - $46231.212
149 - Mateo - $52314.661
150 - Lucas - $59287.67
151 - Evelyn - $68250.365
152 - David - $57431.817
153 - Isabella - $65689.99
154 - Ava - $64459.497
155 - Liam - $58364.516
156 - Zoe - $62443.089
157 - Sherif - $203000.895
158 - Isabella - $60906.21
159 - Olivia - $69048.365
160 - Sebastian - $60182.194
161 - Jackson - $69673.875
162 - Abigail - $53209.793
163 - Amelia - $41907.341
164 - Joseph - $54116.324
165 - Logan - $47298.599
166 - Sophia - $45124.023
167 - Elijah - $61367.316
168 - Logan - $68599.512
169 - Ethan - $43584.612
170 - Jackson - $47571.522
171 - Sophia - $46771.776
172 - Charlotte - $44078.314
173 - Mateo - $60249.241
174 - Lucas - $49787.262
175 - Ella - $52053.587
176 - James - $66336.15
177 - Oliver - $56625.989
178 - Mateo - $49117.494
179 - Mia - $45716.503
180 - Ava - $46848.035
181 - Oliver - $45881.665
182 - Emma - $42329.219
183 - Aiden - $57326.1
184 - Grace - $64522.843
185 - Lucas - $57769.914
186 - Grace - $63678.041
187 - Jackson - $47516.465
188 - Abigail - $45326.202
189 - Jackson - $42804.616
190 - Noah - $55220.473
191 - Charlotte - $38382.517
192 - Mia - $47193.166
193 - Isabella - $58332.28
194 - Joseph - $49962.901
195 - Emma - $57224.665
196 - Liam - $41178.623
197 - Mason - $38660.121
198 - Lucas - $55149.736
199 - Grace - $69343.316
200 - Charlotte - $67359.371
201 - David - $53314.907
1 - James - $95001.876
2 - Maria - $92000.069
3 - Robert - $88000.717
4 - Emma - $91001.377
5 - Liam - $85000.736
6 - Olivia - $110001.546
7 - Noah - $78000.523
8 - Ava - $82000.979
9 - William - $75001.325
10 - Sophia - $84001.689
